SSC_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
SSC50011,16,138,21,174,15,199,21,235,80,627,75,775,54,396,49,489,30,266,23,320,4,111,11,127,6,72,9,86,4,15,3,19,0,0,0,3,205,1822,211,2234,26,107,16,146,35,260,22,311,97,665,64,825,81,373,39,490,30,298,25,352,24,132,17,169,10,75,8,88,4,9,5,14,0,0,0,0,300,1911,193,2406,38,252,42,325,49,465,40,552,175,1285,139,1603,132,764,80,984,64,564,53,678,31,236,28,296,15,145,17,174,3,20,12,34,0,0,0,3,501,3735,407,4639
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,6,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,19
SSC50013,5,13,3,17,0,11,0,13,0,14,0,17,13,27,0,38,21,24,6,52,16,38,0,54,7,20,3,28,0,3,0,3,0,4,0,4,66,153,10,231,10,3,7,20,3,6,0,8,4,20,3,30,18,22,3,42,19,34,0,59,9,33,7,51,7,14,0,23,0,5,0,5,0,0,0,0,78,147,19,244,14,17,10,43,6,15,0,25,6,36,6,45,38,42,7,86,44,56,8,106,27,78,9,107,13,38,3,54,0,10,0,12,0,4,0,4,147,300,34,479
SSC50014,0,0,0,4,0,0,0,0,3,3,0,3,3,4,0,5,7,7,3,12,3,11,0,11,0,3,0,10,0,0,0,3,0,0,0,0,22,29,4,55,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,5,3,3,14,0,10,0,5,3,5,0,8,0,0,0,0,0,0,0,0,11,22,3,42,0,0,0,4,0,0,0,5,3,9,0,14,5,5,0,8,12,12,3,28,4,15,0,20,4,12,3,14,0,4,0,3,0,0,0,0,35,54,8,90
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11
SSC50016,7,14,0,22,0,6,0,6,3,7,0,15,12,25,3,32,7,28,4,38,0,20,3,27,5,14,3,26,0,3,0,3,0,3,0,3,31,132,13,177,0,14,0,18,0,4,0,9,6,11,0,15,20,16,3,41,16,22,0,39,9,15,3,28,6,11,0,25,0,4,0,3,0,0,0,0,61,103,11,172,9,28,0,41,0,15,0,16,12,15,0,31,30,42,4,77,24,52,5,82,14,36,3,58,13,34,7,45,0,9,0,7,0,3,0,3,96,232,20,347
SSC50017,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,6,0,0,0,3,0,5,3,10,0,3,0,4,0,0,0,3,0,0,0,0,19,7,4,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,8,0,3,0,6,0,0,3,4,0,0,0,0,0,0,0,0,12,4,5,25,0,0,0,0,0,0,0,0,0,3,0,4,11,0,0,10,6,0,4,8,8,8,4,15,0,3,3,7,0,0,0,3,0,0,0,0,31,17,8,56
SSC50018,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC50019,0,12,0,13,0,10,0,10,0,15,3,18,0,9,0,8,3,17,0,22,3,14,3,24,4,23,0,28,0,3,0,0,0,0,0,0,12,103,10,127,3,5,0,8,0,0,0,0,0,4,0,5,3,15,0,22,0,11,0,12,3,14,3,23,0,9,3,12,0,3,0,3,0,0,0,0,9,63,6,82,3,20,3,26,0,10,0,14,0,15,3,20,3,23,0,30,4,29,3,35,7,28,3,40,4,30,5,35,0,6,0,3,0,0,0,0,24,168,17,210
SSC50020,0,0,3,3,0,0,0,0,0,3,0,3,0,3,0,3,0,4,0,5,0,4,0,4,0,3,0,3,0,0,0,3,0,0,0,0,5,22,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,4,15,0,24,0,0,3,5,0,0,0,0,0,4,0,5,0,4,0,4,4,8,0,12,0,7,0,7,3,7,0,11,0,0,0,3,0,0,0,0,9,35,3,50
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,70,132,10,205,57,177,17,244,54,293,45,384,87,264,22,377,127,303,29,458,102,327,19,448,96,244,30,372,52,125,21,197,4,58,32,94,644,1919,218,2782,85,119,18,221,69,134,13,209,71,314,33,419,135,289,21,445,144,309,17,472,125,354,30,511,107,267,33,408,38,144,45,225,10,79,43,126,780,2012,239,3028,155,250,24,427,121,306,30,453,122,607,73,804,218,561,41,824,267,614,51,931,222,678,51,955,207,513,60,779,92,273,66,427,14,133,71,218,1417,3930,459,5806
SSC50023,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,4,6,0,10,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,25,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,5,0,3,0,3,0,0,0,3,0,3,0,3,0,0,0,0,7,16,0,20,0,0,0,3,0,0,0,0,5,0,0,3,4,0,0,8,3,10,0,15,3,8,0,10,3,3,0,3,0,4,0,4,0,0,0,0,17,29,0,40
SSC50024,38,117,4,160,24,103,5,131,31,185,9,226,70,169,14,257,58,191,11,257,60,221,18,294,50,118,10,177,22,66,6,96,5,34,7,45,349,1216,86,1648,45,91,7,143,46,103,7,162,41,168,10,217,91,179,8,279,79,228,11,314,66,238,8,316,48,151,3,204,28,90,9,122,9,56,9,66,457,1300,73,1828,88,206,11,304,70,211,12,293,72,348,21,442,163,348,20,535,137,421,15,573,123,459,25,606,102,270,13,385,52,153,14,224,10,90,13,118,812,2513,158,3476
SSC50025,3,20,0,23,0,3,0,0,3,5,3,14,8,19,3,30,16,30,5,50,9,39,3,55,13,16,3,31,0,7,0,10,0,3,0,3,61,136,14,210,8,13,0,15,0,4,0,5,5,14,3,20,20,17,3,40,19,30,0,50,15,26,4,40,13,19,3,35,0,3,0,7,0,3,0,4,74,123,17,213,12,30,0,41,3,3,0,6,9,20,3,28,23,36,3,69,37,52,6,100,21,62,3,92,22,34,6,66,4,12,3,12,0,5,0,7,133,261,28,425
SSC50026,49,270,45,358,57,392,56,505,117,744,106,963,113,613,88,819,79,595,85,761,97,567,72,731,93,409,90,597,37,258,76,368,4,104,29,140,651,3955,646,5247,49,287,50,386,55,394,50,494,154,736,98,996,158,555,77,790,134,591,82,805,127,619,82,834,106,463,104,674,58,321,99,472,4,161,54,215,853,4128,696,5679,101,556,90,749,110,789,109,1003,268,1488,204,1960,276,1167,168,1610,217,1191,169,1574,224,1182,157,1564,197,876,198,1270,94,581,172,847,8,261,84,357,1503,8077,1345,10925
SSC50027,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,10,4,24,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,11,3,14,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,5,3,3,0,7,0,12,0,14,6,0,0,4,0,0,0,0,0,0,0,0,11,22,3,40
SSC50028,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,9
SSC50029,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,4,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,14,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,16,0,0,0,0,0,0,0,0,9,0,0,10,9,0,0,8,3,4,0,8,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,35
SSC50030,3,3,0,3,0,0,0,3,3,0,0,4,3,0,0,5,5,7,0,11,3,5,3,9,0,3,0,3,0,0,0,0,0,4,0,4,20,21,5,47,5,0,0,5,0,0,0,0,3,5,0,4,0,0,0,0,10,3,0,15,0,3,0,6,0,3,0,3,0,7,0,4,0,0,0,0,24,17,5,43,3,4,0,4,0,0,0,0,9,3,0,7,5,0,0,8,18,8,3,28,6,6,6,13,0,3,0,7,0,7,0,8,0,4,0,4,40,44,6,89
SSC50031,9,36,10,59,4,68,12,81,23,130,25,179,17,132,14,161,36,149,22,206,32,152,16,202,20,106,15,144,8,45,5,61,0,10,0,10,141,832,131,1101,14,49,9,71,15,57,9,85,23,146,14,188,46,123,16,177,43,134,15,193,36,159,14,206,25,99,18,144,3,27,7,39,0,15,0,13,204,809,101,1116,25,94,16,134,24,126,17,166,43,277,45,366,58,250,28,337,76,281,37,397,66,308,32,404,43,205,39,288,13,76,9,100,0,22,0,18,347,1637,231,2219
SSC50032,9,52,3,62,19,61,5,83,20,169,13,201,29,148,15,187,16,125,6,151,11,76,11,95,10,66,12,84,13,61,6,82,3,19,0,29,123,772,74,972,10,54,0,65,10,51,3,64,25,170,14,206,33,169,13,212,19,125,0,147,15,100,8,119,34,111,3,152,15,113,15,141,3,20,0,26,162,907,65,1133,12,106,9,126,26,109,9,146,46,341,27,412,62,309,26,396,38,244,13,292,23,177,14,214,41,176,18,235,29,168,23,222,6,36,3,47,284,1681,134,2102
SSC50033,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10
SSC50034,3,27,0,36,4,22,4,29,15,94,4,111,17,93,9,115,17,68,8,84,11,46,12,70,14,37,7,54,10,26,0,33,0,8,0,8,79,422,42,542,4,22,0,27,4,21,3,30,22,94,0,116,19,73,7,95,14,63,7,89,18,46,3,64,15,36,10,56,6,39,3,46,0,9,0,11,107,400,30,541,6,50,4,62,7,46,4,62,37,180,9,224,37,163,16,215,33,130,9,174,29,96,15,139,27,72,10,108,13,60,4,79,3,18,0,19,191,819,75,1082
SSC50035,69,136,7,212,31,128,10,174,46,225,20,291,65,266,18,348,125,340,28,490,62,293,16,367,62,193,13,271,47,118,11,173,5,58,8,77,513,1755,130,2401,114,114,82,306,66,139,9,218,46,217,18,285,126,275,14,419,177,332,29,539,74,263,18,353,82,190,12,292,41,151,15,206,6,72,15,90,738,1756,215,2705,185,242,93,518,104,269,20,392,94,443,36,575,193,544,34,765,303,667,55,1029,134,555,34,724,143,387,27,558,84,269,26,384,13,135,18,170,1254,3511,340,5106
SSC50036,74,284,22,386,32,215,14,260,66,454,21,536,160,642,34,838,141,508,29,679,39,240,16,291,28,143,4,173,4,52,6,65,0,10,0,10,553,2546,146,3247,94,263,21,371,67,190,11,270,93,489,20,599,235,659,19,912,151,512,24,687,58,272,17,343,32,148,9,188,9,63,9,75,0,13,3,18,728,2604,131,3459,166,543,41,757,94,404,24,525,159,940,38,1134,397,1300,55,1756,287,1020,56,1366,99,508,31,642,61,288,20,365,15,114,12,139,0,24,5,28,1287,5149,275,6712
SSC50037,31,124,8,163,24,122,9,155,74,458,34,560,118,496,22,641,41,254,9,306,27,120,9,155,9,69,0,78,6,40,0,45,0,13,0,15,333,1698,92,2122,23,124,10,161,29,138,8,169,89,549,29,664,141,481,19,643,57,239,10,302,20,146,13,183,10,76,4,87,4,37,7,44,0,47,0,52,373,1833,102,2306,56,253,16,330,54,254,13,324,157,1002,67,1232,261,977,45,1284,97,488,21,611,50,266,21,341,17,146,4,167,9,76,7,94,0,59,0,60,704,3525,198,4433
SSC50038,10,23,7,38,0,11,0,11,3,31,8,48,20,33,4,51,25,60,3,94,45,73,11,124,72,64,3,133,35,43,9,84,3,17,8,29,211,351,47,610,3,17,0,24,3,16,0,20,10,29,0,43,21,23,0,45,38,55,6,97,40,79,15,131,60,65,8,137,41,41,15,96,5,33,11,51,230,358,59,647,16,34,8,64,4,31,3,38,13,62,7,89,43,53,6,98,57,113,7,189,82,149,18,256,134,127,17,276,77,86,22,182,16,53,12,74,444,707,111,1252
SSC50039,88,351,45,486,43,297,21,363,130,726,69,922,215,725,80,1015,157,668,84,906,121,550,71,742,123,359,61,538,52,156,35,242,3,47,10,60,926,3871,472,5274,96,317,50,462,45,266,31,342,200,829,64,1098,295,700,69,1063,212,642,70,924,146,611,64,819,152,374,62,590,59,164,49,271,13,62,20,85,1222,3952,472,5650,185,669,97,949,90,561,47,697,328,1555,131,2014,509,1421,152,2080,370,1310,155,1834,269,1159,132,1556,277,725,124,1128,107,324,86,514,16,104,30,148,2144,7829,948,10921
SSC50040,51,229,19,300,27,287,18,338,79,870,66,1008,134,669,51,854,77,448,28,560,43,198,13,253,20,139,11,166,6,55,3,68,0,11,0,11,436,2897,217,3547,52,228,24,304,43,299,28,368,150,884,49,1082,188,698,45,932,86,474,35,591,50,261,17,328,25,143,11,187,5,62,9,78,0,11,0,9,604,3065,211,3877,104,460,40,602,66,588,51,703,228,1752,108,2091,327,1368,99,1784,166,924,62,1148,88,458,26,578,46,284,26,355,11,117,15,144,0,16,0,17,1041,5961,423,7425
