SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC50011,5,310,24,340,27,412,43,480,0,162,11,174,6,217,21,235,4,699,73,775,3,434,47,489,0,290,31,320,3,115,13,127,4,76,8,86,3,10,3,19,0,3,0,3,62,2720,274,3054,0,333,35,375,0,402,35,437,7,127,17,146,3,290,21,311,0,756,68,825,0,449,39,490,6,318,27,352,6,143,20,169,5,72,8,88,0,12,0,14,0,0,0,0,36,2914,276,3216,10,643,62,711,30,812,75,915,6,289,30,325,10,503,36,552,5,1453,142,1603,3,890,91,984,6,611,58,678,4,256,31,296,11,150,12,174,5,23,10,34,0,3,0,3,94,5632,547,6269
SSC50012,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,6,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19
SSC50013,0,8,0,11,0,60,3,67,3,18,0,17,0,9,0,13,0,18,0,17,0,37,0,38,0,49,0,52,0,49,3,54,3,20,0,28,0,3,0,3,4,0,0,4,12,282,12,310,0,22,0,22,0,52,3,55,0,18,3,20,0,8,0,8,0,25,9,30,0,37,5,42,3,47,3,59,3,43,6,51,4,18,0,23,0,9,0,5,0,0,0,0,14,278,25,322,0,24,0,26,0,117,11,120,0,38,3,43,0,23,0,25,0,40,7,45,0,78,7,86,3,100,6,106,4,96,8,107,10,40,5,54,0,8,0,12,4,0,0,4,30,563,45,627
SSC50014,0,7,0,7,0,9,0,9,0,4,0,4,0,0,0,0,0,3,0,3,0,5,0,5,0,13,3,12,0,13,0,11,0,3,0,10,0,3,0,3,0,0,0,0,3,58,4,70,0,6,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,7,0,7,0,13,3,14,0,7,0,5,0,8,0,8,0,0,0,0,0,0,0,0,3,47,3,48,0,12,0,12,0,13,0,13,0,4,0,4,0,5,0,5,0,10,0,14,0,8,0,8,0,19,3,28,0,16,0,20,3,11,3,14,0,3,0,3,0,0,0,0,3,103,10,114
SSC50015,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
SSC50016,0,11,0,14,0,43,0,47,0,20,0,22,0,6,0,6,0,14,0,15,0,35,3,32,0,40,3,38,0,28,3,27,0,21,0,26,0,3,0,3,3,0,0,3,5,216,12,235,0,7,0,7,0,57,3,54,0,18,0,18,0,9,0,9,0,13,3,15,0,36,4,41,0,32,7,39,0,24,0,28,0,18,0,25,0,3,0,3,0,0,0,0,0,225,11,234,0,21,0,18,0,97,3,97,0,39,0,41,0,16,0,16,0,23,3,31,0,71,3,77,0,71,6,82,0,51,3,58,0,45,3,45,0,7,0,7,3,0,0,3,5,439,23,467
SSC50017,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,0,0,0,3,0,3,3,10,0,3,0,4,0,0,0,3,0,0,0,0,0,29,8,33,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,3,8,0,7,0,6,0,0,3,4,0,0,0,0,0,0,0,0,0,25,5,27,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,10,0,10,0,4,4,8,0,11,4,15,0,3,3,7,0,0,0,3,0,0,0,0,0,54,13,64
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC50019,0,7,0,7,0,10,0,10,0,16,0,13,0,7,0,10,0,16,3,18,0,8,0,8,0,23,0,22,0,22,3,24,0,22,0,28,0,4,0,0,0,0,0,0,4,132,11,142,0,7,0,7,0,8,0,8,0,5,0,8,0,0,0,0,0,5,0,5,0,17,0,22,0,11,0,12,0,17,3,23,0,7,0,12,0,0,0,3,0,0,0,0,3,88,6,98,0,11,0,11,0,26,0,26,0,24,0,26,0,11,0,14,0,17,3,20,0,26,0,30,0,36,3,35,0,37,5,40,0,31,0,35,0,3,0,3,0,0,0,0,5,224,17,248
SSC50020,0,0,0,0,0,7,0,7,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,5,0,5,0,5,0,4,0,3,0,3,0,0,0,3,0,0,0,0,3,28,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,6,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,3,0,3,0,5,0,5,0,0,0,0,0,5,0,5,0,4,0,4,0,12,0,12,0,12,0,7,0,11,0,11,0,0,0,3,0,0,0,0,3,53,0,54
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,0,163,3,174,4,356,8,371,0,191,12,205,4,224,13,244,5,346,34,384,3,346,22,377,3,420,37,458,8,413,27,448,15,330,24,372,30,156,15,197,27,40,23,94,104,3003,222,3325,5,152,7,164,0,353,15,369,5,204,9,221,0,198,11,209,3,380,30,419,6,416,26,445,3,452,11,472,4,464,38,511,10,368,29,408,30,163,31,225,46,53,27,126,125,3204,231,3559,7,320,14,337,7,714,26,748,4,396,22,427,3,422,21,453,5,729,65,804,9,765,51,824,8,878,51,931,12,882,62,955,29,701,54,779,59,317,48,427,77,93,42,218,223,6208,450,6887
SSC50023,0,3,0,3,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,10,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0,33,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,5,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,23,0,27,0,6,0,6,0,9,0,9,0,3,0,3,0,0,0,0,0,3,0,3,0,8,0,8,0,13,0,15,0,5,0,10,0,3,0,3,0,4,0,4,0,0,0,0,3,53,0,57
SSC50024,3,95,3,105,3,257,9,264,3,157,6,160,0,123,5,131,0,211,13,226,0,243,15,257,0,247,7,257,6,275,14,294,3,168,11,177,9,85,6,96,20,26,3,45,47,1878,87,2017,0,103,0,104,4,275,8,287,0,142,6,143,0,155,8,162,3,203,13,217,0,266,8,279,3,302,8,314,4,293,12,316,7,191,7,204,14,103,8,122,34,36,0,66,74,2064,82,2217,3,193,4,203,8,531,11,548,3,294,11,304,3,281,9,293,4,417,23,442,0,507,20,535,3,545,24,573,4,576,31,606,15,362,13,385,20,186,9,224,48,59,4,118,117,3946,168,4232
SSC50025,0,5,0,5,0,42,5,49,0,23,0,23,0,0,0,0,0,8,0,14,0,32,3,30,0,41,4,50,0,47,3,55,0,24,3,31,3,4,0,10,4,0,0,3,7,244,13,271,0,16,4,16,0,45,0,46,0,15,0,15,0,5,0,5,0,19,3,20,0,33,3,40,0,50,0,50,0,41,3,40,0,31,3,35,0,8,0,7,0,0,0,4,6,256,17,272,0,24,4,27,3,89,6,91,0,41,0,41,0,6,0,6,0,28,3,28,0,67,3,69,0,89,4,100,0,83,4,92,0,57,6,66,4,8,0,12,3,6,0,7,13,496,31,545
SSC50026,12,475,62,541,40,726,73,845,22,307,30,358,11,439,57,505,24,841,97,963,36,704,83,819,50,635,82,761,55,604,77,731,66,468,59,597,74,239,58,368,56,55,31,140,441,5493,704,6637,3,459,57,515,17,700,61,785,9,344,36,386,13,437,46,494,17,869,109,996,32,678,84,790,53,682,71,805,88,664,77,834,69,531,76,674,97,301,73,472,96,84,42,215,502,5742,739,6984,15,931,121,1064,66,1430,142,1632,30,649,72,749,29,877,104,1003,41,1713,206,1960,64,1380,166,1610,99,1313,158,1574,145,1265,152,1564,130,995,140,1270,177,539,130,847,144,140,68,357,945,11230,1446,13619
SSC50027,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,20,0,0,0,4,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,5,0,5,0,7,0,9,0,14,0,4,0,4,0,0,0,0,0,0,0,0,0,35,5,50
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
SSC50029,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,4,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,27,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,6,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,21,0,0,0,3,0,5,3,7,0,0,0,0,0,0,0,0,0,10,3,10,0,8,0,8,0,8,0,8,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,43
SSC50030,0,0,0,0,0,6,0,7,0,4,0,3,0,0,0,3,0,4,0,4,0,3,0,5,0,14,0,11,0,7,3,9,0,3,0,3,0,0,0,0,0,0,0,4,0,42,8,53,0,6,0,6,0,14,0,11,0,5,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,10,0,15,0,4,0,6,0,3,0,3,0,8,0,4,0,0,0,0,3,52,3,59,0,6,0,6,0,20,3,19,0,6,0,4,0,0,0,0,0,7,0,7,0,5,0,8,0,25,3,28,0,9,3,13,0,4,0,7,0,8,0,8,0,0,0,4,4,90,9,112
SSC50031,0,71,9,77,0,107,14,123,3,51,5,59,0,75,7,81,0,151,26,179,0,145,18,161,3,175,21,206,8,170,19,202,3,120,18,144,7,51,9,61,3,5,0,10,27,1125,145,1299,0,54,6,64,0,90,9,99,0,65,4,71,0,74,13,85,0,168,17,188,0,168,10,177,0,173,19,193,4,187,15,206,0,122,22,144,3,28,7,39,4,9,0,13,19,1139,113,1276,0,122,18,144,0,194,19,214,7,121,9,134,0,152,20,166,0,319,46,366,0,309,27,337,3,352,40,397,13,365,33,404,6,246,33,288,7,75,15,100,8,10,0,18,50,2265,261,2572
